34.533976977348686	9.12457845555366
69.06795395469737	20.302833405666888
103.60193093204605	35.18515165233157
138.13590790939475	52.02432106996912
172.66988488674343	73.59099501632409
207.2038618640921	100.10875766492245
241.73783884144078	126.39137999450395
276.2718158187895	154.16414459003863
310.8057927961382	189.07013094560534
345.33976977348686	216.58790399999998
379.8737467508355	248.89701621113636
414.4077237281842	277.0951473922905
448.94170070553287	321.9315548942541
483.47567768288155	374.99078399194696
518.0096546602302	411.8104224125418
552.543631637579	466.1079440040339
587.0776086149276	522.1234753237222
621.6115855922764	575.7672757824184
656.145562569625	635.819171597599
690.6795395469737	718.187583982799
725.2135165243224	739.9011778224958
759.747493501671	827.48958677685
794.2814704790197	898.5432538269961
828.8154474563684	949.8439061899262
863.3494244337171	1042.1099541857257
897.8834014110657	1131.1272068809485
932.4173783884145	1168.8661728395382
966.9513553657631	1311.2060573282652
1001.4853323431118	1373.6525877453969
1036.0193093204605	1448.1023200476193
